ex1-setup,2019-01-01 00:00
ex1-IntroductionToImageAnalysis,2027-02-10 15:30
ex1b-PCA,2027-02-10 15:30
ex2-CamerasAndLenses,2027-02-17 15:30
ex2-CamerasAndLensesSubpixel,2027-02-17 15:30
ex2b-ChangeDetectionInVideos,2027-02-17 15:30
ex3-PixelwiseOperations,2027-02-24 15:30
ex4-ImageFiltering,2027-03-03 15:30
ex4b-ImageMorphology,2027-03-03 15:30
ex5-BLOBAnalysis,2027-03-10 15:30
ex6-PixelClassificationAndObjectSegmentation,2027-03-24 15:30
ex6b-AdvancedPixelClassification,2027-03-31 15:30
ex7-GeometricTransformationsAndRegistration,2027-04-07 15:30
ex8-CatsCatsCats,2027-02-24 15:30
ex9-AdvancedRegistration,2027-04-21 15:30
ex10-Viola-Jones,2027-04-28 15:30
ex11-DynamicProgramming,2027-02-17 15:30
